Year,Month,Day,Date,Start,End,TimeStep,Site,Treat1,Treat2,Reef,Obs1,Obs2,Species,1,2,3,4,5,6,7,8,9,10,12.5,15,17.5,20,22.5,25,27.5,30,35,40,45,50,100,>100,Tot,Notes
2017,6,6,6/6/17,1008,1022,1,HAN,CLO,,212,ED,RJ,ACBL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,6,6,6/6/17,1008,1022,1,HAN,CLO,,212,ED,RJ,ACNI,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,6,6,6/6/17,1200,1227,1,HAN,OPE,,213,ED,RJ,ACNI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,6,6,6/6/17,1200,1227,1,HAN,OPE,,213,ED,RJ,SCRU,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,6,6,6/6/17,924,952,1,HAN,OPE,,215,ED,RJ,ACXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,PASSED
2017,9,5,9/5/17,,,2,HAN,CLO,,212,ED,MH,SCRU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,9,5,9/5/17,,,2,HAN,CLO,,212,ED,MH,SCRU,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
2017,9,5,9/5/17,1028,1044,2,HAN,OPE,,213,ED,MH,ACNI,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,9,5,9/5/17,1028,1044,2,HAN,OPE,,213,ED,MH,SCRU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,9,5,9/5/17,1000,1025,2,HAN,OPE,,215,ED,MH,ACXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,PASSED
2017,9,5,9/5/17,1000,1025,2,HAN,OPE,,215,ED,MH,SCRU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,9,5,9/5/17,1058,1104,2,HAN,CLO,,216,ED,MH,ACXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,left on arrival
2017,11,28,11/28/17,1055,1101,3,HAN,CLO,,212,ED,EB,CHSP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,11,28,11/28/17,1038,1052,3,HAN,OPE,,213,ED,EB,ACNI,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2017,11,28,11/28/17,1029,1035,3,HAN,CLO,,214,ED,EB,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,11,28,11/28/17,1003,1025,3,HAN,OPE,,215,ED,EB,ACDU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,5,15,5/15/18,,1037,5,HAN,OPE,,213,ED,MH,ACNI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,5,15,5/15/18,,1037,5,HAN,OPE,,213,ED,MH,ACXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,PASSED
2018,5,15,5/15/18,,1037,5,HAN,OPE,,215,ED,MH,ACDU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,8,28,8/28/18,1222,,6,HAN,OPE,,213,ED,NA,ACNI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,8,28,8/28/18,1222,,6,HAN,OPE,,213,ED,NA,ACLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,8,28,8/28/18,,949,6,HAN,CLO,,214,ED,NA,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
