Year,Month,Day,Date,Start,End,TimeStep,Site,Treat1,Treat2,Reef,Obs1,Obs2,Species,1,2,3,4,5,6,7,8,9,10,12.5,15,17.5,20,22.5,25,27.5,30,35,40,45,50,100,>100,Tot,Notes
2017,5,25,5/25/17,1228,,1,WAI,OPE,,111,ED,RJ,ACNI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,5,25,5/25/17,1228,,1,WAI,OPE,,111,ED,RJ,ACOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,5,25,5/25/17,1149,,1,WAI,OPE,,113,ED,RJ,ACNI,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
2017,5,25,5/25/17,1010,,1,WAI,OPE,,115,ED,RJ,ACNI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,9,7,9/7/17,1226,1247,2,WAI,OPE,,111,MH,RJ,NABR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,9,7,9/7/17,1226,1247,2,WAI,OPE,,111,MH,RJ,ACNI,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,9,7,9/7/17,1250,1310,2,WAI,OPE,,113,MH,RJ,ACNI,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,9,7,9/7/17,1012,1038,2,WAI,OPE,,115,MH,RJ,ACNI,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,12,3,12/3/17,,1308,3,WAI,OPE,,111,ED,MH,NABR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,12,3,12/3/17,,1308,3,WAI,OPE,,111,ED,MH,ACNI,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2017,12,3,12/3/17,1214,1235,3,WAI,OPE,,113,ED,MH,ACNI,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2017,12,3,12/3/17,1035,1101,3,WAI,OPE,,115,ED,MH,ACNI,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2017,12,3,12/3/17,1014,1030,3,WAI,CLO,,116,ED,MH,NABR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2017,12,3,12/3/17,1014,1030,3,WAI,CLO,,116,ED,MH,ACOL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,5,20,5/20/18,,,5,WAI,OPE,,113,ED,MH,ACNI,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
