Name,Date,TimeStep,Site,Module,Side,A1,A2,Row,Column,Label
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1244,1881,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,941,1487,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1089,2399,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,440,1811,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1001,2372,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1310,1618,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,623,1876,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1118,2152,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,711,2409,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,637,1612,B
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1120,1886,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,710,1842,*BRMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,773,1422,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,683,1400,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1146,3654,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,969,2734,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,980,3288,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,834,2703,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,981,2846,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,962,2914,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,971,3214,B
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1115,3127,*BRMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,797,3082,*RDMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1132,2842,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1317,2992,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,523,3503,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1839,2265,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1669,2455,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1465,2427,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1769,2091,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1559,1883,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1394,1870,CCA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1364,1516,B
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1668,1784,*RDMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1606,2393,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1819,2213,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1334,1669,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1783,1809,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1830,2472,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1544,3277,*BRMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1562,2705,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1928,3361,*RDMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1712,2848,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1857,3188,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1645,3135,CCA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1546,3206,*BRMA
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1820,3484,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1648,2580,T
H_07_N 17_04_11.jpg,4/11/17,1,HAN,7,N,,,1360,3088,*BRMA
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,713,1853,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1175,1293,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,671,1695,B
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1438,1101,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1113,1842,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,863,2018,CCA
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,548,1183,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,890,2294,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,931,2293,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,944,1273,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1015,1388,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1393,1128,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,561,1180,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,693,1936,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1408,2844,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,552,2760,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,551,2769,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1447,3496,*BRMA
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1471,3066,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,885,3536,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1172,2600,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,511,3411,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1063,2392,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,533,3358,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1103,3467,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,628,3010,B
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,592,2464,B
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,708,2948,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2025,2170,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2112,1602,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1688,1204,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1562,2018,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2383,1277,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2372,1809,*BRMA
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1678,1542,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2349,1989,B
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2087,1906,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2080,1628,*BRMA
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2482,1265,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1957,2298,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1623,2662,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1870,3237,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1772,3480,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,2393,2620,B
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1892,2649,T
H_07_S 17_04_11.jpg,4/11/17,1,HAN,7,S,,,1567,2639,T
