Taxonomic Code,ID,Date,Year,Site_long,Shelter,Module #,Side,Location,Settlement_Area,TimeStep,size_class,Cover Code,Max Diameter (mm),Max Orthogonal (mm),Height (mm),Status Code,found,Sector,Lateral,Vertical,Sector_Area,Lateral_Area,Vertical_Area,simple_area_mm_squared,simple_area_cm_squared,area_mm_squared,area_cm_squared,Volume_mm_cubed,Volume_cm_cubed,surface_area_mm,surface_area_cm,larval_output,Column,Row,MD,Skipped,Shrank_stasis,InRange,AboveRange,RLE,MinIn,MinAbove,MinInTime,MinShrink_stasis,MinSkipped
PC,H1,5/2/17,17,Hanauma Bay,Low,216,S,C2,0.599628454,1,4,NA,20,15.73914981,5.381566652,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,314.1592654,3.141592654,247.2299871,2.472299871,5321.938615,5.321938615,1665.187559,1.665187559,-3534.498223,C,2,20,FALSE,FALSE,TRUE,FALSE,1,1,2,1,4,Inf
PC,H1,8/8/17,17,Hanauma Bay,Low,216,S,C2,0.599628454,2,5,NA,28,28,3,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,615.7521601,6.157521601,615.7521601,6.157521601,7389.025921,7.389025921,2990.796206,2.990796206,-3425.976139,C,2,28,FALSE,FALSE,FALSE,TRUE,2,1,2,1,4,Inf
MPA,H1002,9/9/18,18,Hanauma Bay,High,215,N,A3,0.599628454,6,1,2,5,3.283519111,1,NA,TRUE,BO,O,B,0.149907112,0.299814224,0.299814224,19.63495408,0.196349541,12.8943494,0.128943494,51.57739759,0.051577398,82.99332412,0.082993324,-3811.192187,A,3,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,6,Inf,Inf
MPA,H1002,11/27/18,18,Hanauma Bay,High,215,N,A3,0.575643317,7,2,1,9,6.028060058,1,NA,TRUE,BO,O,B,0.140163151,0.290070263,0.270582339,63.61725124,0.636172512,42.60984569,0.426098457,170.4393828,0.170439383,226.9880505,0.226988051,-3804.951932,A,3,9,FALSE,FALSE,TRUE,FALSE,1,1,Inf,6,Inf,Inf
MPA,H1002,3/12/19,19,Hanauma Bay,High,215,N,A3,0.599628454,8,3,1,12,8.086465769,1,NA,TRUE,BO,O,B,0.149907112,0.299814224,0.299814224,113.0973355,1.130973355,76.21314436,0.762131444,304.8525774,0.304852577,380.2508011,0.380250801,-3797.89524,A,3,12,FALSE,FALSE,TRUE,FALSE,1,1,Inf,6,Inf,Inf
PC,H1004,9/9/18,18,Hanauma Bay,Low,212,S,A1_2,0.455717626,6,1,1,5,4.096610547,1.008163708,NA,TRUE,TO,O,T,0.149907112,0.226734507,0.299814224,19.63495408,0.196349541,16.087352,0.16087352,64.8747378,0.064874738,96.02180499,0.096021805,-3810.494076,A,1_2,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,6,Inf,Inf
PC,H1004,11/27/18,18,Hanauma Bay,Low,212,S,A1_2,0.437728772,7,NA,NA,NA,NA,NA,NF,FALSE,TO,O,T,0.149907112,0.216615777,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,1_2,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,6,Inf,Inf
MPA,H1005,9/9/18,18,Hanauma Bay,Low,212,S,C1,0.455717626,6,1,1,4,2.597383874,1,NA,TRUE,TI,I,T,0.149907112,0.222612062,0.299814224,12.56637061,0.125663706,8.159922098,0.081599221,32.63968839,0.032639688,57.77242962,0.05777243,-3812.186416,C,1,4,FALSE,FALSE,TRUE,FALSE,1,1,12,6,7,Inf
MPA,H1005,11/27/18,18,Hanauma Bay,Low,212,S,C1,0.437728772,7,1,1,4,2.597383874,1,NA,TRUE,TI,I,T,0.149907112,0.218114848,0.299814224,12.56637061,0.125663706,8.159922098,0.081599221,32.63968839,0.032639688,57.77242962,0.05777243,-3812.186416,C,1,4,FALSE,TRUE,TRUE,FALSE,1,1,12,6,7,Inf
PC,H1006,9/9/18,18,Hanauma Bay,Low,212,N,A2,0.371769642,6,1,1,2,2,1,NA,TRUE,TO,O,T,0.149907112,0.185510051,0.299814224,3.141592654,0.031415927,3.141592654,0.031415927,12.56637061,0.012566371,25.13274123,0.025132741,-3813.240266,A,2,2,FALSE,FALSE,TRUE,FALSE,1,1,Inf,6,Inf,Inf
