Module #,Site_long,Shelter,Side,TimeStep,Year,Date
111,Waikiki,High,N,1,17,5/6/17
111,Waikiki,High,S,1,17,5/24/17
111,Waikiki,High,T,1,17,5/24/17
111,Waikiki,High,E,1,17,5/6/17
111,Waikiki,High,W,1,17,5/24/17
112,Waikiki,Low,N,1,17,5/20/17
112,Waikiki,Low,S,1,17,5/20/17
112,Waikiki,Low,T,1,17,5/20/17
112,Waikiki,Low,E,1,17,5/20/17
112,Waikiki,Low,W,1,17,5/20/17
113,Waikiki,High,N,1,17,5/18/17
113,Waikiki,High,S,1,17,5/18/17
113,Waikiki,High,T,1,17,5/18/17
113,Waikiki,High,E,1,17,5/18/17
113,Waikiki,High,W,1,17,5/18/17
114,Waikiki,Low,N,1,17,5/13/17
114,Waikiki,Low,S,1,17,5/13/17
114,Waikiki,Low,T,1,17,5/13/17
114,Waikiki,Low,E,1,17,5/13/17
114,Waikiki,Low,W,1,17,5/13/17
115,Waikiki,High,N,1,17,5/13/17
115,Waikiki,High,S,1,17,5/13/17
115,Waikiki,High,T,1,17,5/13/17
115,Waikiki,High,E,1,17,5/13/17
115,Waikiki,High,W,1,17,5/13/17
116,Waikiki,Low,N,1,17,5/6/17
116,Waikiki,Low,S,1,17,5/6/17
116,Waikiki,Low,T,1,17,5/6/17
116,Waikiki,Low,E,1,17,5/6/17
116,Waikiki,Low,W,1,17,5/6/17
211,Hanauma Bay,High,N,1,17,5/2/17
211,Hanauma Bay,High,S,1,17,5/2/17
211,Hanauma Bay,High,T,1,17,5/2/17
211,Hanauma Bay,High,E,1,17,5/2/17
211,Hanauma Bay,High,W,1,17,5/2/17
212,Hanauma Bay,Low,N,1,17,5/2/17
212,Hanauma Bay,Low,S,1,17,5/2/17
212,Hanauma Bay,Low,T,1,17,5/2/17
212,Hanauma Bay,Low,E,1,17,5/2/17
212,Hanauma Bay,Low,W,1,17,5/2/17
213,Hanauma Bay,High,N,1,17,5/2/17
213,Hanauma Bay,High,S,1,17,5/2/17
213,Hanauma Bay,High,T,1,17,5/2/17
213,Hanauma Bay,High,E,1,17,5/2/17
213,Hanauma Bay,High,W,1,17,5/2/17
214,Hanauma Bay,Low,N,1,17,5/2/17
214,Hanauma Bay,Low,S,1,17,5/2/17
214,Hanauma Bay,Low,T,1,17,5/2/17
214,Hanauma Bay,Low,E,1,17,5/2/17
214,Hanauma Bay,Low,W,1,17,5/2/17
215,Hanauma Bay,High,N,1,17,5/2/17
215,Hanauma Bay,High,S,1,17,5/2/17
215,Hanauma Bay,High,T,1,17,5/2/17
215,Hanauma Bay,High,E,1,17,5/2/17
215,Hanauma Bay,High,W,1,17,5/2/17
216,Hanauma Bay,Low,N,1,17,5/2/17
216,Hanauma Bay,Low,S,1,17,5/2/17
216,Hanauma Bay,Low,T,1,17,5/2/17
216,Hanauma Bay,Low,E,1,17,5/2/17
216,Hanauma Bay,Low,W,1,17,5/2/17
111,Waikiki,High,N,2,17,8/9/17
111,Waikiki,High,S,2,17,8/9/17
111,Waikiki,High,T,2,17,8/9/17
111,Waikiki,High,E,2,17,8/9/17
111,Waikiki,High,W,2,17,8/9/17
112,Waikiki,Low,N,2,17,8/11/17
112,Waikiki,Low,S,2,17,8/11/17
112,Waikiki,Low,T,2,17,8/11/17
112,Waikiki,Low,E,2,17,8/11/17
112,Waikiki,Low,W,2,17,8/11/17
113,Waikiki,High,N,2,17,8/12/17
113,Waikiki,High,S,2,17,8/12/17
113,Waikiki,High,T,2,17,8/12/17
113,Waikiki,High,E,2,17,8/12/17
113,Waikiki,High,W,2,17,8/12/17
114,Waikiki,Low,N,2,17,8/11/17
114,Waikiki,Low,S,2,17,8/11/17
114,Waikiki,Low,T,2,17,8/11/17
114,Waikiki,Low,E,2,17,8/11/17
114,Waikiki,Low,W,2,17,8/11/17
115,Waikiki,High,N,2,17,8/9/17
115,Waikiki,High,S,2,17,8/11/17
115,Waikiki,High,T,2,17,8/11/17
115,Waikiki,High,E,2,17,8/11/17
115,Waikiki,High,W,2,17,8/11/17
116,Waikiki,Low,N,2,17,8/9/17
116,Waikiki,Low,S,2,17,8/9/17
116,Waikiki,Low,T,2,17,8/9/17
116,Waikiki,Low,E,2,17,8/9/17
116,Waikiki,Low,W,2,17,8/9/17
211,Hanauma Bay,High,N,2,17,8/8/17
211,Hanauma Bay,High,S,2,17,8/8/17
211,Hanauma Bay,High,T,2,17,8/8/17
211,Hanauma Bay,High,E,2,17,8/8/17
211,Hanauma Bay,High,W,2,17,8/8/17
212,Hanauma Bay,Low,N,2,17,8/8/17
212,Hanauma Bay,Low,S,2,17,8/8/17
212,Hanauma Bay,Low,T,2,17,8/8/17
212,Hanauma Bay,Low,E,2,17,8/8/17
212,Hanauma Bay,Low,W,2,17,8/8/17
213,Hanauma Bay,High,N,2,17,8/8/17
