Date,Year,Site_long,Shelter,Module #,TimeStep
5/25/17,17,Waikiki,High,111,1
5/25/17,17,Waikiki,Low,112,1
5/25/17,17,Waikiki,High,113,1
5/25/17,17,Waikiki,Low,114,1
5/25/17,17,Waikiki,High,115,1
5/25/17,17,Waikiki,Low,116,1
6/6/17,17,Hanauma Bay,High,211,1
6/6/17,17,Hanauma Bay,Low,212,1
6/6/17,17,Hanauma Bay,High,213,1
6/6/17,17,Hanauma Bay,Low,214,1
6/6/17,17,Hanauma Bay,High,215,1
6/6/17,17,Hanauma Bay,Low,216,1
9/7/17,17,Waikiki,High,111,2
9/7/17,17,Waikiki,Low,112,2
9/7/17,17,Waikiki,High,113,2
9/7/17,17,Waikiki,Low,114,2
9/7/17,17,Waikiki,High,115,2
9/7/17,17,Waikiki,Low,116,2
9/5/17,17,Hanauma Bay,High,211,2
9/5/17,17,Hanauma Bay,Low,212,2
9/5/17,17,Hanauma Bay,High,213,2
9/5/17,17,Hanauma Bay,Low,214,2
9/5/17,17,Hanauma Bay,High,215,2
9/5/17,17,Hanauma Bay,Low,216,2
12/3/17,17,Waikiki,High,111,3
12/3/17,17,Waikiki,Low,112,3
12/3/17,17,Waikiki,High,113,3
12/3/17,17,Waikiki,Low,114,3
12/3/17,17,Waikiki,High,115,3
12/3/17,17,Waikiki,Low,116,3
11/28/17,17,Hanauma Bay,High,211,3
11/28/17,17,Hanauma Bay,Low,212,3
11/28/17,17,Hanauma Bay,High,213,3
11/28/17,17,Hanauma Bay,Low,214,3
11/28/17,17,Hanauma Bay,High,215,3
11/28/17,17,Hanauma Bay,Low,216,3
5/20/18,18,Waikiki,High,111,5
5/20/18,18,Waikiki,Low,112,5
5/20/18,18,Waikiki,High,113,5
5/20/18,18,Waikiki,Low,114,5
5/20/18,18,Waikiki,High,115,5
5/20/18,18,Waikiki,Low,116,5
5/15/18,18,Hanauma Bay,High,211,5
5/15/18,18,Hanauma Bay,Low,212,5
5/15/18,18,Hanauma Bay,High,213,5
5/15/18,18,Hanauma Bay,Low,214,5
5/15/18,18,Hanauma Bay,High,215,5
5/15/18,18,Hanauma Bay,Low,216,5
9/1/18,18,Waikiki,High,111,6
9/1/18,18,Waikiki,Low,112,6
9/1/18,18,Waikiki,High,113,6
9/1/18,18,Waikiki,Low,114,6
9/1/18,18,Waikiki,High,115,6
9/1/18,18,Waikiki,Low,116,6
8/28/18,18,Hanauma Bay,High,211,6
8/28/18,18,Hanauma Bay,Low,212,6
8/28/18,18,Hanauma Bay,High,213,6
8/28/18,18,Hanauma Bay,Low,214,6
8/28/18,18,Hanauma Bay,High,215,6
8/28/18,18,Hanauma Bay,Low,216,6
12/8/18,18,Waikiki,High,111,7
12/8/18,18,Waikiki,Low,112,7
12/8/18,18,Waikiki,High,113,7
12/8/18,18,Waikiki,Low,114,7
12/8/18,18,Waikiki,High,115,7
12/8/18,18,Waikiki,Low,116,7
12/4/18,18,Hanauma Bay,High,211,7
12/4/18,18,Hanauma Bay,Low,212,7
12/4/18,18,Hanauma Bay,High,213,7
12/4/18,18,Hanauma Bay,Low,214,7
12/4/18,18,Hanauma Bay,High,215,7
12/4/18,18,Hanauma Bay,Low,216,7
3/22/19,19,Waikiki,High,111,8
3/22/19,19,Waikiki,Low,112,8
3/22/19,19,Waikiki,High,113,8
3/22/19,19,Waikiki,Low,114,8
3/22/19,19,Waikiki,High,115,8
3/22/19,19,Waikiki,Low,116,8
3/19/19,19,Hanauma Bay,High,211,8
3/19/19,19,Hanauma Bay,Low,212,8
3/19/19,19,Hanauma Bay,High,213,8
3/19/19,19,Hanauma Bay,Low,214,8
3/19/19,19,Hanauma Bay,High,215,8
3/19/19,19,Hanauma Bay,Low,216,8
