Module #,TimeStep,Site_long,Shelter,Side,Settlement_Area
111,1,Waikiki,High,N,0.599628448
111,1,Waikiki,High,S,0.599628448
112,1,Waikiki,Low,N,0.599628448
112,1,Waikiki,Low,S,0.599628448
113,1,Waikiki,High,N,0.599628448
113,1,Waikiki,High,S,0.599628448
114,1,Waikiki,Low,N,0.599628448
114,1,Waikiki,Low,S,0.599628448
115,1,Waikiki,High,N,0.599628448
115,1,Waikiki,High,S,0.599628448
116,1,Waikiki,Low,N,0.599628448
116,1,Waikiki,Low,S,0.599628448
211,1,Hanauma Bay,High,N,0.599628448
211,1,Hanauma Bay,High,S,0.599628448
212,1,Hanauma Bay,Low,N,0.599628448
212,1,Hanauma Bay,Low,S,0.599628448
213,1,Hanauma Bay,High,N,0.599628448
213,1,Hanauma Bay,High,S,0.599628448
214,1,Hanauma Bay,Low,N,0.599628448
214,1,Hanauma Bay,Low,S,0.599628448
215,1,Hanauma Bay,High,N,0.599628448
215,1,Hanauma Bay,High,S,0.599628448
216,1,Hanauma Bay,Low,N,0.599628448
216,1,Hanauma Bay,Low,S,0.599628448
111,2,Waikiki,High,N,0.599628448
111,2,Waikiki,High,S,0.599628448
112,2,Waikiki,Low,N,0.599628448
112,2,Waikiki,Low,S,0.599628448
113,2,Waikiki,High,N,0.599628448
113,2,Waikiki,High,S,0.599628448
114,2,Waikiki,Low,N,0.599628448
114,2,Waikiki,Low,S,0.599628448
115,2,Waikiki,High,N,0.599628448
115,2,Waikiki,High,S,0.599628448
116,2,Waikiki,Low,N,0.599628448
116,2,Waikiki,Low,S,0.599628448
211,2,Hanauma Bay,High,N,0.599628448
211,2,Hanauma Bay,High,S,0.599628448
212,2,Hanauma Bay,Low,N,0.599628448
212,2,Hanauma Bay,Low,S,0.599628448
213,2,Hanauma Bay,High,N,0.599628448
213,2,Hanauma Bay,High,S,0.599628448
214,2,Hanauma Bay,Low,N,0.599628448
214,2,Hanauma Bay,Low,S,0.599628448
215,2,Hanauma Bay,High,N,0.599628448
215,2,Hanauma Bay,High,S,0.599628448
216,2,Hanauma Bay,Low,N,0.599628448
216,2,Hanauma Bay,Low,S,0.599628448
111,3,Waikiki,High,N,0.599628448
111,3,Waikiki,High,S,0.599628448
112,3,Waikiki,Low,N,0.599628448
112,3,Waikiki,Low,S,0.599628448
113,3,Waikiki,High,N,0.599628448
113,3,Waikiki,High,S,0.599628448
114,3,Waikiki,Low,N,0.599628448
114,3,Waikiki,Low,S,0.599628448
115,3,Waikiki,High,N,0.599628448
115,3,Waikiki,High,S,0.599628448
116,3,Waikiki,Low,N,0.599628448
116,3,Waikiki,Low,S,0.599628448
211,3,Hanauma Bay,High,N,0.395754777
211,3,Hanauma Bay,High,S,0.511183252
212,3,Hanauma Bay,Low,N,0.599628448
212,3,Hanauma Bay,Low,S,0.599628448
213,3,Hanauma Bay,High,N,0.599628448
213,3,Hanauma Bay,High,S,0.599628448
214,3,Hanauma Bay,Low,N,0.599628448
214,3,Hanauma Bay,Low,S,0.599628448
215,3,Hanauma Bay,High,N,0.599628448
215,3,Hanauma Bay,High,S,0.599628448
216,3,Hanauma Bay,Low,N,0.599628448
216,3,Hanauma Bay,Low,S,0.599628448
111,4,Waikiki,High,N,0.599628448
111,4,Waikiki,High,S,0.599628448
112,4,Waikiki,Low,N,0.599628448
112,4,Waikiki,Low,S,0.599628448
113,4,Waikiki,High,N,0.599628448
113,4,Waikiki,High,S,0.599628448
114,4,Waikiki,Low,N,0.599628448
114,4,Waikiki,Low,S,0.599628448
115,4,Waikiki,High,N,0.599628448
115,4,Waikiki,High,S,0.599628448
116,4,Waikiki,Low,N,0.599628448
116,4,Waikiki,Low,S,0.599628448
211,4,Hanauma Bay,High,N,0.394630474
211,4,Hanauma Bay,High,S,0.434730626
212,4,Hanauma Bay,Low,N,0.599628448
212,4,Hanauma Bay,Low,S,0.599628448
213,4,Hanauma Bay,High,N,0.599628448
213,4,Hanauma Bay,High,S,0.599628448
214,4,Hanauma Bay,Low,N,0.599628448
214,4,Hanauma Bay,Low,S,0.599628448
215,4,Hanauma Bay,High,N,0.599628448
215,4,Hanauma Bay,High,S,0.599628448
216,4,Hanauma Bay,Low,N,0.599628448
216,4,Hanauma Bay,Low,S,0.599628448
111,5,Waikiki,High,N,0.599628448
111,5,Waikiki,High,S,0.599628448
112,5,Waikiki,Low,N,0.599628448
112,5,Waikiki,Low,S,0.599628448
113,5,Waikiki,High,N,0.599628448
113,5,Waikiki,High,S,0.599628448
114,5,Waikiki,Low,N,0.599628448
114,5,Waikiki,Low,S,0.599628448
115,5,Waikiki,High,N,0.599628448
115,5,Waikiki,High,S,0.599628448
116,5,Waikiki,Low,N,0.599628448
116,5,Waikiki,Low,S,0.599628448
211,5,Hanauma Bay,High,N,0.599628448
211,5,Hanauma Bay,High,S,0.599628448
212,5,Hanauma Bay,Low,N,0.350033106
212,5,Hanauma Bay,Low,S,0.415992238
213,5,Hanauma Bay,High,N,0.599628448
213,5,Hanauma Bay,High,S,0.5606526
214,5,Hanauma Bay,Low,N,0.442600749
214,5,Hanauma Bay,Low,S,0.49132056
215,5,Hanauma Bay,High,N,0.599628448
215,5,Hanauma Bay,High,S,0.599628448
216,5,Hanauma Bay,Low,N,0.599628448
216,5,Hanauma Bay,Low,S,0.599628448
111,6,Waikiki,High,N,0.599628448
111,6,Waikiki,High,S,0.599628448
112,6,Waikiki,Low,N,0.599628448
112,6,Waikiki,Low,S,0.599628448
113,6,Waikiki,High,N,0.599628448
113,6,Waikiki,High,S,0.599628448
114,6,Waikiki,Low,N,0.599628448
114,6,Waikiki,Low,S,0.599628448
115,6,Waikiki,High,N,0.599628448
115,6,Waikiki,High,S,0.599628448
116,6,Waikiki,Low,N,0.599628448
116,6,Waikiki,Low,S,0.599628448
211,6,Hanauma Bay,High,N,0.599628448
211,6,Hanauma Bay,High,S,0.599628448
212,6,Hanauma Bay,Low,N,0.369146263
212,6,Hanauma Bay,Low,S,0.449346569
213,6,Hanauma Bay,High,N,0.599628448
213,6,Hanauma Bay,High,S,0.549034799
214,6,Hanauma Bay,Low,N,0.41374363
214,6,Hanauma Bay,Low,S,0.317803076
215,6,Hanauma Bay,High,N,0.599628448
215,6,Hanauma Bay,High,S,0.599628448
216,6,Hanauma Bay,Low,N,0.492819632
216,6,Hanauma Bay,Low,S,0.545661888
111,7,Waikiki,High,N,0.538541302
111,7,Waikiki,High,S,0.599628448
112,7,Waikiki,Low,N,0.498441149
112,7,Waikiki,Low,S,0.599628448
113,7,Waikiki,High,N,0.599628448
113,7,Waikiki,High,S,0.599628448
114,7,Waikiki,Low,N,0.599628448
114,7,Waikiki,Low,S,0.599628448
115,7,Waikiki,High,N,0.599628448
115,7,Waikiki,High,S,0.594006932
116,7,Waikiki,Low,N,0.599628448
116,7,Waikiki,Low,S,0.599628448
211,7,Hanauma Bay,High,N,0.525799196
211,7,Hanauma Bay,High,S,0.559528297
212,7,Hanauma Bay,Low,N,0.333918092
212,7,Hanauma Bay,Low,S,0.434730625
213,7,Hanauma Bay,High,N,0.531795481
213,7,Hanauma Bay,High,S,0.468834493
214,7,Hanauma Bay,Low,N,0.359027534
214,7,Hanauma Bay,Low,S,0.318927382
215,7,Hanauma Bay,High,N,0.570396563
215,7,Hanauma Bay,High,S,0.595131235
216,7,Hanauma Bay,Low,N,0.599628448
216,7,Hanauma Bay,Low,S,0.599628448
111,8,Waikiki,High,N,0.525049661
111,8,Waikiki,High,S,0.599628448
112,8,Waikiki,Low,N,0.599628448
112,8,Waikiki,Low,S,0.599628448
113,8,Waikiki,High,N,0.599628448
113,8,Waikiki,High,S,0.595880771
114,8,Waikiki,Low,N,0.599628448
114,8,Waikiki,Low,S,0.599628448
115,8,Waikiki,High,N,0.599628448
115,8,Waikiki,High,S,0.599628448
116,8,Waikiki,Low,N,0.599628448
116,8,Waikiki,Low,S,0.599628448
211,8,Hanauma Bay,High,N,0.540415139
211,8,Hanauma Bay,High,S,0.525424428
212,8,Hanauma Bay,Low,N,0.460589602
212,8,Hanauma Bay,Low,S,0.466960654
213,8,Hanauma Bay,High,N,0.599628448
213,8,Hanauma Bay,High,S,0.599628448
214,8,Hanauma Bay,Low,N,0.478578456
214,8,Hanauma Bay,Low,S,0.345535894
215,8,Hanauma Bay,High,N,0.599628448
215,8,Hanauma Bay,High,S,0.599628448
216,8,Hanauma Bay,Low,N,0.599628448
216,8,Hanauma Bay,Low,S,0.5943817
111,9,Waikiki,High,N,0.448597034
111,9,Waikiki,High,S,0.599628448
112,9,Waikiki,Low,N,0.450470873
112,9,Waikiki,Low,S,0.599628448
113,9,Waikiki,High,N,0.599628448
113,9,Waikiki,High,S,0.596255538
114,9,Waikiki,Low,N,0.599628448
114,9,Waikiki,Low,S,0.59625554
115,9,Waikiki,High,N,0.599628448
115,9,Waikiki,High,S,0.599628448
116,9,Waikiki,Low,N,0.525799196
116,9,Waikiki,Low,S,0.476704616
211,9,Hanauma Bay,High,N,0.460214835
211,9,Hanauma Bay,High,S,0.49469347
212,9,Hanauma Bay,Low,N,0.400626758
212,9,Hanauma Bay,Low,S,0.455342855
213,9,Hanauma Bay,High,N,0.487198114
213,9,Hanauma Bay,High,S,0.538541301
214,9,Hanauma Bay,Low,N,0.356404159
